song_id,title,artist,genre,language,mood
1,Shape of You,Ed Sheeran,Pop,English,Happy
2,Believer,Imagine Dragons,Rock,English,Energetic
3,Blinding Lights,The Weeknd,Synthpop,English,Nostalgic
4,Tum Hi Ho,Arijit Singh,Romantic,Hindi,Emotional
5,Despacito,Luis Fonsi,Reggaeton,Spanish,Party
6,Dil Diyan Gallan,Atif Aslam,Romantic,Hindi,Calm
7,Thunder,Imagine Dragons,Rock,English,Powerful
8,Senorita,Shawn Mendes,Pop,English,Romantic
9,Agar Tum Saath Ho,Alka Yagnik,Romantic,Hindi,Emotional
10,Let Her Go,Passenger,Folk,English,Sad
